,maker,specific_origin,reference_number,review_date,cocoa_percent,maker_location,rating,bean_type,broad_origin
32,Akesson's (Pralus),"Bali ,west,Sukrama Family,Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia
33,Akesson's (Pralus),"Madagascar,Ambolikapiky P",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar
34,Akesson's (Pralus),"Monte Alegre,D Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil
35,Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad
36,Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam
37,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar
38,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela
39,Alain Ducasse,"Piura,Perou",1173,2013,75.0,France,2.5,Blend,Peru
40,Alexandre,"Winak Coop,Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador
41,Alexandre,"La Dalia,Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
42,Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam
43,Alexandre,"Makwale Village,Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania
44,Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,Blend,Nicaragua
45,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,Blend,Peru
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,Blend,Bolivia
47,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,Blend,Peru
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,Blend,Ecuador
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,Blend,Venezuela
50,Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic
51,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,Blend,Bolivia
52,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,Blend,Bolivia
53,Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,Blend,Peru
54,Amano,Morobe,725,2011,70.0,U.S.A.,4.0,Blend,Papua New Guinea
55,Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75,Blend,Dominican Republic
56,Amano,Guayas,470,2010,70.0,U.S.A.,4.0,Blend,Ecuador
57,Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela
58,Amano,Montanya,363,2009,70.0,U.S.A.,3.0,Blend,Venezuela
59,Amano,"Bali,Jembrana",304,2008,70.0,U.S.A.,2.75,Blend,Indonesia
60,Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar
61,Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,Blend,Venezuela
62,Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela
63,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana
64,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,Blend,Ecuador
65,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,Blend,Ecuador
66,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana
67,Amazona,"LamasdelChanka,San Martin,Oro Verde coop",1145,2013,72.0,Peru,3.25,Blend,Peru
68,Amazona,"Bellavista Gran Pajeten,San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru
69,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize
70,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar
71,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,Blend,Dominican Republic
72,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,Blend,Papua New Guinea
73,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,Blend,Venezuela
74,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,Blend,Peru
75,Amedei,"Piura,Blanco de Criollo",979,2012,70.0,Italy,3.75,Blend,Peru
76,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela
77,Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,Nine
78,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela
79,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador
80,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica
81,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada
82,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela
83,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar
84,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad
85,Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,Toscano Black
86,Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,Toscano Black
87,Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,Toscano Black
88,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil
89,AMMA,"Monte Alegre,3 diff plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil
90,AMMA,"Monte Alegre,3 diff plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil
91,AMMA,"Monte Alegre,3 diff plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil
92,AMMA,"Monte Alegre,3 diff plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil
93,Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,Blend,Dominican Republic
94,Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,Blend,Bolivia
95,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar
96,Ara,Chiapas,1379,2014,72.0,France,2.5,Blend,Mexico
97,Ara,Equateur,1379,2014,75.0,France,2.75,Blend,Ecuador
98,Ara,Trincheras,1379,2014,75.0,France,3.0,Blend,Venezuela
99,Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad
100,Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,Blend,Tanzania
101,Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam
102,Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,Blend,Ecuador
103,Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,Blend,Ecuador
104,Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,Blend,Guatemala
105,Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,Blend,Nicaragua
106,Arete,"La Masica,FHIA",1908,2016,70.0,U.S.A.,3.5,Blend,Honduras
107,Arete,"Coto Brus,Terciopelo",1908,2016,70.0,U.S.A.,4.0,Blend,Costa Rica
108,Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
109,Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,Blend,Dominican Republic
110,Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,Blend,Fiji
111,Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,Blend,Vietnam
112,Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,Blend,Brazil
113,Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru
114,Arete,"Puerto Quito,heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador
115,Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,Blend,Dominican Republic
116,Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize
117,Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
118,Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,Blend,Brazil
119,Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,Blend,Guatemala
120,Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,Blend,Ecuador
121,Artisan du Chocolat,"Trinidad,Heritage,Limited ed",1193,2013,72.0,England,3.25,Trinitario,Trinidad
122,Artisan du Chocolat,"Colombia,Casa Luker",947,2012,72.0,England,3.75,Blend,Colombia
123,Artisan du Chocolat,Haiti,729,2011,72.0,England,4.0,Blend,Haiti
124,Artisan du Chocolat,Panama,745,2011,72.0,England,2.75,Blend,Panama
125,Artisan du Chocolat,Venezuela,486,2010,100.0,England,1.75,Blend,Venezuela
126,Artisan du Chocolat,Jamaica,531,2010,72.0,England,3.75,Trinitario,Jamaica
127,Artisan du Chocolat,Costa Rica,600,2010,72.0,England,3.25,Blend,Costa Rica
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,England,3.25,Trinitario,Vietnam
129,Artisan du Chocolat,Bali,600,2010,72.0,England,3.5,Blend,Indonesia
130,Artisan du Chocolat,"Ocumare,Venezuela",355,2009,75.0,England,2.5,"Criollo, Trinitario",Venezuela
131,Artisan du Chocolat,Java,355,2009,72.0,England,2.75,Trinitario,Indonesia
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,England,1.75,Blend,Brazil
133,Artisan du Chocolat,Madagascar,363,2009,80.0,England,3.0,"Criollo, Trinitario",Madagascar
134,Artisan du Chocolat,Peru,363,2009,75.0,England,3.0,Criollo,Peru
135,Artisan du Chocolat,Dominican Republic,363,2009,72.0,England,3.25,Trinitario,Dominican Republic
136,Artisan du Chocolat,Congo,300,2008,72.0,England,3.75,Forastero,Congo
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region,Arauca",1181,2013,72.0,England,2.75,Trinitario,Colombia
138,Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania
139,Askinosie,"Tenende,Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania
140,Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras
141,Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines
142,Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico
143,Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador
144,Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,Blend,Houseblend
145,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,Blend,Papua New Guinea
146,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar
147,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,Blend,Brazil
148,Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,Houseblend
149,Bakau,"Bambamarca,2015",1454,2015,70.0,Peru,2.75,Blend,Peru
150,Bakau,"Huallabamba,2015",1454,2015,70.0,Peru,3.5,Blend,Peru
151,Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,Blend,Brazil
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
153,Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,Blend,Dominican Republic
154,Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,Blend,Mexico
155,Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar
156,Baravelli's,single estate,955,2012,80.0,Wales,2.75,Blend,Costa Rica
157,Batch,"Dominican Republic,Batch 3",1840,2016,65.0,U.S.A.,3.5,Blend,Dominican Republic
158,Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,Blend,Brazil
159,Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,Blend,Ecuador
160,Beau Cacao,"Asajaya E,NW Borneo,b #132,4500",1948,2017,73.0,England,3.0,Blend,Malaysia
161,Beau Cacao,"Serian E,NW Borneo,b #134,3800",1948,2017,72.0,England,3.25,Blend,Malaysia
162,Beehive,"Brazil,Batch 20316",1784,2016,80.0,U.S.A.,2.75,Blend,Brazil
163,Beehive,"Dominican Republic,Batch 31616",1784,2016,70.0,U.S.A.,2.75,Blend,Dominican Republic
164,Beehive,"Ecuador,Batch 31516",1784,2016,70.0,U.S.A.,2.75,Blend,Ecuador
165,Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75,Blend,Ecuador
166,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,Blend,Costa Rica
167,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,Blend,Papua New Guinea
168,Belcolade,Peru,586,2010,64.0,Belgium,2.75,Blend,Peru
169,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,Blend,Ecuador
170,Bellflower,"Kakao Kamili,Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
171,Bellflower,"Alto Beni,Palos Blanco",1804,2016,70.0,U.S.A.,3.25,Blend,Bolivia
172,Bellflower,"Oko Caribe,Duarte P",1864,2016,70.0,U.S.A.,3.5,Blend,Dominican Republic
173,Belyzium,"Belize south,low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize
174,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize
175,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize
176,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba
177,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela
178,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela
179,Benoit Nihant,Rio Peripa H,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador
180,Benoit Nihant,"Bali,Sukrama Bros Farm,Melaya,62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia
181,Benoit Nihant,"Somia Plantation,Sambirano,70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar
182,Bernachon,Nature,797,2012,55.0,France,2.75,Blend,Nature
183,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar
184,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela
185,Beschle (Felchlin),"Indigena Amazonia,Grand Cru,Quizas",636,2011,72.0,Switzerland,3.5,Blend,Venezuela
186,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,Blend,Ecuador
187,Beschle (Felchlin),"Carenero S,Barlovento,Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela
188,Beschle (Felchlin),"Porcelana,Premier Cru,Quizas No 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela
189,Beschle (Felchlin),"Java,Grand Cru",508,2010,64.0,Switzerland,3.5,Blend,Indonesia
190,Beschle (Felchlin),"Ocumare,Premier Cru,Quizas No 2",508,2010,72.0,Switzerland,3.5,Blend,Venezuela
191,Bisou,"Nicaragua,American style",1482,2015,76.0,U.S.A.,2.5,Blend,Nicaragua
192,Bisou,"San Andres,American style",1486,2015,76.0,U.S.A.,2.5,Blend,Costa Rica
193,Bisou,"San Andres,silk",1486,2015,78.0,U.S.A.,2.5,Blend,Costa Rica
194,Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize
195,Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana
196,Bittersweet Origins,"Bali,Singaraja",478,2010,75.0,U.S.A.,3.25,Blend,Indonesia
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,"Dominican Republic,Bali"
198,Bittersweet Origins,"Bali,Singaraja",558,2010,65.0,U.S.A.,2.75,Blend,Indonesia
199,Bittersweet Origins,"Sambirano,2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar
200,Bittersweet Origins,"Ocumare,prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela
201,Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0,Blend,Dominican Republic
202,Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5,Blend,Dominican Republic
203,Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar
204,Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar
205,Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar
206,Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5,Blend,Panama
207,Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75,Blend,Dominican Republic
208,Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana
209,Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75,Blend,Dominican Republic
210,Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela
211,Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0,Blend,Nicaragua
212,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,England,2.75,Trinitario,Jamaica
213,Blanxart,"Congo,Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo
214,Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,Blend,Organic Dark
215,Blue Bandana,"Akesson's E,Sambirano V",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar
216,Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75,Blend,Guatemala
217,Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5,Blend,Tanzania
218,Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0,Blend,Dominican Republic
219,Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5,Blend,Guatemala
220,Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar
221,Bonnat,Selva Maya,1912,2016,75.0,France,3.5,Blend,Mexico
222,Bonnat,Kaori,1339,2014,75.0,France,4.0,Blend,Brazil
223,Bonnat,"Los Colorados,Santo Domingo,Equateur",1418,2014,75.0,France,3.25,Blend,Dominican Republic
224,Bonnat,Surfin,1418,2014,65.0,France,3.75,Blend,"Venezuela,Africa,Brasil,Peru,Mexico"
225,Bonnat,Maragnam,1038,2013,75.0,France,3.5,Blend,Brazil
226,Bonnat,Gabon,1042,2013,75.0,France,3.25,Blend,Gabon
227,Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba
228,Bonnat,"Cusco,Cacao Cusco",629,2011,75.0,France,3.5,Blend,Peru
229,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru
230,Bonnat,Libanio,629,2011,75.0,France,3.75,Blend,Brazil
231,Bonnat,Haiti,629,2011,75.0,France,4.0,Blend,Haiti
232,Bonnat,"Madagascar,100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar
233,Bonnat,Juliana,672,2011,75.0,France,3.5,Blend,Brazil
234,Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica
235,Bonnat,Ivory Coast,331,2009,75.0,France,3.0,Blend,Ivory Coast
236,Bonnat,"Porcelana,Apotequil",336,2009,75.0,France,2.75,Criollo,Peru
237,Bonnat,"Porcelana,Tabasco,Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico
238,Bonnat,"Xoconusco,cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico
239,Bonnat,"Porcelana,Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela
240,Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero (Arriba),Ecuador
241,Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean
242,Bonnat,"Ocumare,Puerto Cabello",32,2006,75.0,France,4.0,Blend,Venezuela
243,Bonnat,"Maracaibo,El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela
244,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar
245,Bonnat,One Hundred,81,2006,100.0,France,1.5,Blend,One Hundred
246,Bonnat,Ceylan,81,2006,75.0,France,3.0,Blend,Sri Lanka
247,Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela
248,Bouga Cacao (Tulicorp),"El Oro,Hacienda de Oro",316,2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador
249,Bouga Cacao (Tulicorp),"El Oro,Hacienda de Oro",341,2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador
250,Bowler Man,Maya Mountain,1267,2014,70.0,U.S.A.,2.75,Trinitario,Belize
251,Bowler Man,Conacado,1271,2014,70.0,U.S.A.,2.75,Blend,Dominican Republic
252,Brasstown aka It's Chocolate,"Guasare,Zulia Prov",1868,2016,70.0,U.S.A.,3.5,Criollo,Venezuela
253,Brasstown aka It's Chocolate,"O'payo,Waslala",1868,2016,70.0,U.S.A.,3.75,Blend,Nicaragua
254,Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,U.S.A.,3.75,Blend,Dominican Republic
255,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,U.S.A.,3.75,Trinitario,Belize
256,Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela
257,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic
258,Brasstown aka It's Chocolate,"Camino Verde,Guayas",1125,2013,70.0,U.S.A.,3.25,Blend,Ecuador
259,Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,U.S.A.,3.5,Forastero,Ghana
260,Brasstown aka It's Chocolate,"Chuao,Mantuano blend",1129,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela
261,Brazen,Elvesia P,1514,2015,60.0,U.S.A.,3.0,Blend,Dominican Republic
262,Brazen,Elvesia P,1514,2015,80.0,U.S.A.,3.25,Blend,Dominican Republic
263,Brazen,"Alta Verapaz,2014",1514,2015,70.0,U.S.A.,3.5,Blend,Guatemala
264,Brazen,Ambolikapiky P,1518,2015,80.0,U.S.A.,2.75,Blend,Madagascar
265,Brazen,Maya Mountain,1518,2015,80.0,U.S.A.,3.25,Trinitario,Belize
266,Brazen,Ambolikapkly P,1518,2015,60.0,U.S.A.,3.25,Blend,Madagascar
267,Breeze Mill,Jamaica,1149,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica
268,Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,Trinitario,Madagascar
269,Bright,Marabel Farms,1231,2014,70.0,Australia,3.5,Blend,Dominican Republic
270,Bright,"Camino Verde,Balao,Guayas",1231,2014,72.0,Australia,3.5,Blend,Ecuador
271,Bright,Gran Couva,1235,2014,68.0,Australia,2.75,Trinitario,Trinidad
272,Britarev,Ecuador,1638,2015,70.0,Russia,3.25,Blend,Ecuador
273,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.0,U.S.A.,2.75,Blend,Dominican Republic
274,Burnt Fork Bend,Trinidad,1299,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad
275,Burnt Fork Bend,Mindo,1299,2014,72.0,U.S.A.,3.5,Blend,Ecuador
276,Burnt Fork Bend,Belize,1303,2014,72.0,U.S.A.,3.25,Trinitario,Belize
277,Burnt Fork Bend,Blend,1303,2014,72.0,U.S.A.,3.25,Blend,Blend
278,Burnt Fork Bend,"Ecuador,Bob Bar",1323,2014,60.0,U.S.A.,2.5,Blend,Ecuador
279,Cacao Arabuco,Puerto Rico,1606,2015,70.0,Puerto Rico,2.5,Blend,Puerto Rico
280,Cacao Atlanta,Tumbes,1215,2014,75.0,U.S.A.,2.5,Criollo,Peru
281,Cacao Atlanta,"Dominican Republic,""Love Bar""",502,2010,75.0,U.S.A.,2.5,Blend,Dominican Republic
282,Cacao Atlanta,"Dominican Republic w,nibs",502,2010,75.0,U.S.A.,2.75,Blend,Dominican Republic
283,Cacao Atlanta,Patanemo,600,2010,75.0,U.S.A.,2.25,Blend,Venezuela
284,Cacao Barry,Grand 'Anse,1716,2016,65.0,France,3.5,"Criollo, Trinitario",Haiti
285,Cacao Barry,Santo Domingo,586,2010,70.0,France,3.0,Blend,Dominican Republic
286,Cacao Barry,Tanzania,300,2008,75.0,France,2.0,Blend,Tanzania
287,Cacao Barry,Venezuela,141,2007,72.0,France,2.0,Blend,Venezuela
288,Cacao Barry,Mexico,147,2007,66.0,France,3.0,Blend,Mexico
289,Cacao de Origen,Chuao,1688,2015,77.0,Venezuela,3.5,Trinitario,Venezuela
